,Unnamed: 0,index,contract_id,ico,dlhy_nedoplatky,pohladavky_statu,employees,competition,money_saved,money_spent,sales,profit,company_age
633,765,765,415260,34123415.0,0,0,25,3,0.0,427089.0,6804391.0,47289,9078.0
634,766,766,415260,35849258.0,0,0,25,2,0.0,427089.0,8656750.0,565722,6345.0
635,767,767,415260,35757329.0,0,0,20,2,4.3248,3755824.0,10642212.0,610258,7819.0
636,768,768,415260,47393939.0,0,0,10,1,0.0,3925598.0,6221528.0,238143,2434.0
637,769,769,415260,17312001.0,0,1,25,1,0.0,3925598.0,20394341.0,852154,10580.0
638,771,771,415402,35900008.0,0,0,50,2,22.3683,59039.0,13195418.0,271510,5710.0
639,773,773,415402,35900008.0,0,0,50,2,1.0004000000000002,87263.0,13195418.0,271510,5710.0
640,774,774,419400,35819081.0,0,0,50,1,0.0017,483333.0,16916661.0,818350,6814.0
641,775,775,410412,36583359.0,0,0,3,1,1.8341,859866.0,377157.0,8761,5731.0
642,776,776,416787,44645546.0,0,0,5,1,0.0,2416510.0,13366524.0,393016,4086.0
643,778,778,416954,36451576.0,0,0,3,2,0.0,375000.0,3126603.0,335968,8191.0
644,779,779,419801,35966289.0,0,0,250,2,8.0145,275000.0,37441611.0,1773000,5265.0
645,781,781,402869,36572535.0,0,0,50,2,28.1484,225000.0,3750390.0,108166,6099.0
646,786,786,415702,35674148.0,0,0,25,1,2.0839,660000.0,5513459.0,54240,8799.0
647,787,787,411590,35848189.0,0,0,25,1,0.7778,4500000.0,4392716.0,149697,6398.0
648,788,788,420136,35889934.0,0,0,10,2,0.2008,97608.0,1512226.0,37298,5797.0
649,789,789,420483,45332622.0,0,0,1,1,5.4910000000000005,1440000.0,2329408.0,2789,3783.0
650,790,790,419978,35815256.0,0,0,500,4,33.206599999999995,2400000.0,1109526000.0,220935000,6878.0
651,791,791,417063,36572535.0,0,0,50,1,0.0338,2749930.0,3750390.0,108166,6099.0
652,792,792,414257,44802030.0,0,0,250,5,1.1336000000000002,6472843.0,28444268.0,-611661,3968.0
653,793,793,416258,36249254.0,1,0,3,4,0.0,960000.0,2219102.0,17076,6554.0
654,794,794,414507,35954612.0,0,0,250,6,4.9803,840668.0,42390465.0,-360506,5339.0
655,796,796,418025,36572161.0,0,0,25,5,20.6,100000.0,3826223.0,567537,6121.0
656,797,797,418025,35715456.0,0,0,50,5,33.1774,11972.0,5258290.0,146517,8410.0
657,798,798,417632,36554219.0,0,0,10,3,2.4145,347900.0,2248038.0,217283,6093.0
658,799,799,417628,36554219.0,0,0,10,3,4.7264,352570.0,2248038.0,217283,6093.0
659,800,800,419446,44020091.0,0,0,20,3,24.9499,2353982.0,5204139.0,513124,4432.0
660,801,801,419446,44020091.0,0,0,20,3,29.978700000000003,172566.0,5204139.0,513124,4432.0
661,802,802,420078,44687281.0,0,0,10,2,2.1568,429854.0,741491.0,60323,4047.0
662,803,803,405299,36019208.0,0,0,100,4,0.0,209300.0,21162366.0,407239,8437.0
663,804,804,419566,35844817.0,0,0,2,2,0.5848,656640.0,369800.0,4297,6419.0
664,805,805,419566,35819065.0,0,0,3,2,38.6253,652800.0,2384535.0,65769,6818.0
665,807,807,413973,31588468.0,0,1,50,2,5.2057,361393.0,3559445.0,182737,9799.0
666,808,808,413973,31588468.0,0,1,50,2,5.1497,50100.0,3559445.0,182737,9799.0
667,809,809,413973,31588468.0,0,1,50,2,20.3126,47520.0,3559445.0,182737,9799.0
668,810,810,413973,31588468.0,0,1,50,2,3.0738000000000003,59633.0,3559445.0,182737,9799.0
669,811,811,419180,35918501.0,0,1,100,2,9.8867,7946667.0,17709686.0,1538698,5570.0
670,812,812,418723,31376134.0,0,0,100,1,0.0,660861.0,22162325.0,1115622,9409.0
671,813,813,419980,44620896.0,0,0,0,1,0.4712,220726.0,237871.0,62960,4096.0
672,814,814,419424,36329061.0,0,0,25,1,0.0,1000870.0,1642834.0,32652,6156.0
673,815,815,419159,44108672.0,0,0,20,1,0.0,3195833.0,2913418.0,13240,4391.0
674,821,821,414497,31669697.0,0,0,25,3,2.5294,996151.0,2408677.0,55630,9891.0
675,822,822,419901,31586163.0,0,0,50,2,5.8776,398000.0,4286278.0,585025,9844.0
676,823,823,419497,36785512.0,0,0,150,1,0.0124,3419072.0,18439176.0,2027063,4717.0
677,824,824,416726,36847461.0,0,0,1,3,6.839099999999998,975460.0,1535012.0,60851,4583.0
678,825,825,413986,36037443.0,0,0,25,4,7.1882,126708.0,4862663.0,151684,7548.0
679,826,826,413986,36037443.0,0,0,25,4,43.7321,117600.0,4862663.0,151684,7548.0
680,828,828,420255,36449814.0,0,0,25,1,0.0,601040.0,8155442.0,476683,8281.0
681,829,829,412787,36283576.0,0,0,500,2,16.8853,119175.0,56936779.0,-5018087,5172.0
682,833,833,417376,35731851.0,0,0,50,1,0.038200000000000005,390000.0,37440188.0,489116,8212.0
683,834,834,409985,17317282.0,0,0,500,4,13.6217,130270.0,146410075.0,4344207,10552.0
684,837,837,416868,35955678.0,0,0,250,4,36.6128,1889972.0,42189158.0,-10250116,5333.0
685,838,838,419888,36499951.0,0,0,2,2,29.5223,12770.0,294502.0,5645,5627.0
686,839,839,412495,36426181.0,0,0,2,3,1.1594,56323.0,1351026.0,90615,5600.0
687,841,841,419713,36677281.0,0,0,250,6,8.5786,1150333.0,838609000.0,14797000,4969.0
688,843,843,419198,31342213.0,0,0,25,2,0.1009,132866.0,7817853.0,158214,9936.0
689,844,844,419198,31342213.0,0,0,25,2,0.2561,37870.0,7817853.0,158214,9936.0
690,845,845,419198,31342213.0,0,0,25,1,0.0336,333762.0,7817853.0,158214,9936.0
691,846,846,419015,31320911.0,0,0,25,1,0.0009,584109.0,6227924.0,-123848,10255.0
692,847,847,419302,35727578.0,0,0,3,1,0.0,80000.0,1885386.0,137835,8255.0
693,848,848,419302,35727578.0,0,0,3,1,0.0,492500.0,1885386.0,137835,8255.0
694,849,849,410093,31325921.0,1,0,50,2,0.2041,242571.0,6765979.0,118069,10185.0
695,850,850,412515,31319823.0,0,0,50,2,0.0,450000.0,30301231.0,213174,10268.0
696,851,851,411231,31413919.0,0,0,25,4,0.9565,91374.0,6701417.0,-39275,10214.0
697,852,852,411231,36330841.0,0,0,5,4,1.5836,22354.0,4132503.0,-318081,6057.0
698,853,853,411231,31413919.0,0,0,25,3,31.1557,21001.0,6701417.0,-39275,10214.0
699,854,854,411231,35900008.0,0,0,50,4,1.3138,48639.0,13195418.0,271510,5710.0
700,856,856,410615,34111611.0,0,0,1,3,0.7125,8561.0,143303.0,4506,9289.0
701,861,861,419565,17312001.0,0,1,25,1,0.0,1337256.0,20394341.0,852154,10580.0
702,862,862,418402,31326650.0,0,0,250,1,0.0,276830.0,71898259.0,2282408,10172.0
703,863,863,417588,35910739.0,0,0,1000,1,0.0,307497.0,237039000.0,97635000,5620.0
704,864,864,417852,36182508.0,0,0,10,3,0.006600000000000001,527098.0,2769826.0,434232,8124.0
705,865,865,414233,44078145.0,0,0,5,2,44.5218,112655.0,1500195.0,4921,4409.0
706,878,878,411095,44645546.0,0,0,5,18,0.0,34444.0,13366524.0,393016,4086.0
707,879,879,411095,48096407.0,0,0,2,18,0.0,34444.0,763281.0,13861,1864.0
708,881,881,411095,36818259.0,0,0,5,18,0.0,34444.0,2102687.0,90054,4643.0
709,882,882,411095,31601014.0,0,0,25,18,0.0,34444.0,2377851.0,-109935,9565.0
710,885,885,411087,48054933.0,0,0,1,12,0.0,46667.0,195486.0,-4381,1891.0
711,892,892,411087,44645546.0,0,0,5,12,0.0,46667.0,13366524.0,393016,4086.0
712,893,893,411087,48096407.0,0,0,2,12,0.0,46667.0,763281.0,13861,1864.0
713,894,894,411087,48093220.0,0,0,2,12,0.0,46667.0,220689.0,7977,1862.0
714,902,902,411096,44645546.0,0,0,5,10,0.0,56000.0,13366524.0,393016,4086.0
715,903,903,411096,48096407.0,0,0,2,10,0.0,56000.0,763281.0,13861,1864.0
716,906,906,411120,44645546.0,0,0,5,106,0.0,60387.0,13366524.0,393016,4086.0
717,912,912,411120,36622222.0,0,0,3,106,0.0,60387.0,497114.0,141628,5978.0
718,914,914,411120,50077597.0,0,0,2,106,0.0,60387.0,451792.0,52487,1612.0
719,916,916,411120,36632295.0,0,0,3,91,0.0,60387.0,139567.0,32,5643.0
720,918,918,411120,46298151.0,0,0,2,56,0.0,60387.0,32583.0,-3543,3191.0
721,919,919,411120,51212854.0,1,0,1,56,0.0,60387.0,16324.0,-16,898.0
722,920,920,411120,46021817.0,0,0,1,106,0.0,60387.0,74997.0,-113,3376.0
723,923,923,411118,36627330.0,0,0,3,7,0.0,115572.0,1695898.0,3016,5782.0
724,924,924,411118,44645546.0,0,0,5,7,0.0,115572.0,13366524.0,393016,4086.0
725,926,926,411118,36632295.0,0,0,3,7,0.0,115572.0,139567.0,32,5643.0
726,927,927,411118,50077597.0,0,0,2,7,0.0,115572.0,451792.0,52487,1612.0
727,928,928,411118,36622222.0,0,0,3,7,0.0,115572.0,497114.0,141628,5978.0
728,929,929,413643,31364381.0,0,0,50,3,0.5525,18047650.0,4760638.0,245263,9628.0
729,930,930,412268,35839121.0,0,0,150,2,29.0909,165000.0,15489090.0,1318124,6518.0
730,931,931,407771,35810734.0,0,0,200,1,28.6302,2829668.0,27608633.0,416656,6939.0
731,932,932,412512,36352306.0,0,0,25,3,1.1093,274228.0,2748872.0,-21595,5165.0
732,933,933,408975,44761953.0,0,0,1,2,0.8642000000000001,260248.0,6362.0,-10848,3991.0
733,934,934,418669,31685455.0,1,1,500,3,0.08499999999999999,1859580.0,7413992.0,98405,9568.0
734,935,935,402801,46658181.0,0,0,20,3,17.6923,261057.0,1819142.0,-92356,2906.0
735,937,937,411347,31680259.0,0,0,10,2,3.9781,398780.0,1973232.0,324224,9674.0
736,938,938,404844,17329477.0,0,0,150,1,19.6201,3900000.0,47682918.0,103887,10422.0
737,939,939,410237,48190616.0,0,0,2,2,0.0,331700.0,366243.0,17988,1780.0
738,940,940,419029,17312001.0,0,1,25,1,0.0,1401400.0,20394341.0,852154,10580.0
739,943,943,409992,36365556.0,0,0,10,3,5.3792,282179.0,2659428.0,43191,5081.0
740,945,945,418992,36677281.0,0,0,250,5,0.0,332000.0,838609000.0,14797000,4969.0
741,946,946,411959,35743565.0,0,0,25,6,0.0,16250000.0,274023221.0,3069216,8091.0
742,947,947,417021,31376045.0,0,0,50,2,1.0291,3750000.0,54867007.0,3071519,9414.0
743,950,950,412463,31606075.0,0,0,10,3,3.9162,254325.0,3696049.0,343339,9494.0
744,952,952,414167,36402869.0,0,0,20,1,18.0101,384400.0,2820935.0,392401,6695.0
745,953,953,411142,44834942.0,0,0,2,3,0.0,12716.0,907091.0,-29619,3962.0
746,954,954,415342,34113924.0,0,0,250,4,0.0273,32956.0,319548045.0,1503146,9241.0
747,955,955,415342,34113924.0,0,0,250,4,18.7156,32947.0,319548045.0,1503146,9241.0
748,956,956,415342,34113924.0,0,0,250,4,-0.4243,40533.0,319548045.0,1503146,9241.0
749,957,957,415342,31625657.0,0,1,500,4,8.9717,17533.0,506624672.0,2283408,9180.0
750,958,958,415342,31625657.0,0,1,500,4,9.6766,7451.0,506624672.0,2283408,9180.0
751,959,959,415342,31625657.0,0,1,500,4,7.1877,2546.0,506624672.0,2283408,9180.0
752,960,960,415342,31708030.0,0,0,25,3,4.3216,7289.0,96596224.0,1273538,9115.0
753,961,961,415342,31625657.0,0,1,500,2,0.1042,10559.0,506624672.0,2283408,9180.0
754,962,962,415342,34113924.0,0,0,250,4,37.2964,10548.0,319548045.0,1503146,9241.0
755,963,963,415342,34113924.0,0,0,250,2,2.8475,16822.0,319548045.0,1503146,9241.0
756,964,964,415342,34113924.0,0,0,250,4,38.604,16343.0,319548045.0,1503146,9241.0
757,965,965,415342,34113924.0,0,0,250,3,0.8678,26619.0,319548045.0,1503146,9241.0
758,966,966,415342,31717802.0,1,0,25,4,3.7396,12381.0,17783353.0,369611,8912.0
759,967,967,415342,31625657.0,0,1,500,3,3.9177,7045.0,506624672.0,2283408,9180.0
760,968,968,415342,34113924.0,0,0,250,5,0.2869,35210.0,319548045.0,1503146,9241.0
761,969,969,415342,34142941.0,0,1,250,4,1.0879,9192.0,594933000.0,4275000,8702.0
762,970,970,415342,31625657.0,0,1,500,3,-0.5792,103425.0,506624672.0,2283408,9180.0
763,971,971,415342,34113924.0,0,0,250,2,-1.5241,22899.0,319548045.0,1503146,9241.0
764,972,972,415342,34113924.0,0,0,250,2,-0.3481,53143.0,319548045.0,1503146,9241.0
765,973,973,415342,34113924.0,0,0,250,3,48.074,53328.0,319548045.0,1503146,9241.0
766,974,974,415342,31708030.0,0,0,25,3,47.886,108999.0,96596224.0,1273538,9115.0
767,975,975,415342,34113924.0,0,0,250,3,-1.4018,209155.0,319548045.0,1503146,9241.0
768,976,976,406269,36458279.0,0,0,1,3,1.0824,263222.0,1621948.0,78584,7828.0
769,977,977,417474,35954612.0,0,0,250,1,11.6068,790848.0,42390465.0,-360506,5339.0
770,978,978,418445,31720943.0,0,0,3,3,2.6564,548897.0,855405.0,-15337,8855.0
771,979,979,418334,31712380.0,0,0,50,2,2.5246,660860.0,16340994.0,1053218,9026.0
772,980,980,413883,31600891.0,0,0,100,3,4.0069,187699.0,11722957.0,296971,9568.0
773,981,981,418349,36449814.0,0,0,25,3,11.0429,326000.0,8155442.0,476683,8281.0
774,982,982,417596,17321450.0,0,0,50,2,0.0,171260.0,22390260.0,553271,10502.0
775,983,983,412462,36021211.0,0,0,50,2,0.0,1800000.0,4677869.0,108580,8372.0
776,987,987,410053,31325921.0,1,0,50,2,5.1772,115700.0,6765979.0,118069,10185.0
777,988,988,410053,31325921.0,1,0,50,2,5.2556,99246.0,6765979.0,118069,10185.0
778,989,989,410053,31325921.0,1,0,50,2,3.2543999999999995,75005.0,6765979.0,118069,10185.0
